"year";"plot";"sp";"lambda"
2015;1;"BEMA";141,0407839099
2015;1;"CETE";632,432007235911
2015;1;"CHFU";862,222023786659
2015;1;"CHMI";NA
2015;1;"HOMA";253,561105839514
2015;1;"LEMA";587,851697736138
2015;1;"LYTR";NA
2015;1;"MEEL";32,7585562707805
2015;1;"MESU";127,072113927277
2015;1;"PAIN";247,058235387262
2015;1;"PLCO";154,706442886151
2015;1;"POMA";1471,49657374591
2015;1;"POMO";452,655356054153
2015;1;"PUPA";2568,77465520184
2015;1;"SASO";388,592401772042
2015;1;"SCLA";208,048625604682
2015;1;"SOAS";152,312735167231
2015;1;"SPRU";1275,83082065554
2015;1;"SUSP";NA
2015;2;"BEMA";141,0407839099
2015;2;"CETE";632,432007235911
2015;2;"CHFU";862,222023786659
2015;2;"CHMI";NA
2015;2;"HOMA";253,561105839514
2015;2;"LEMA";587,851697736138
2015;2;"LYTR";NA
2015;2;"MEEL";32,7585562707805
2015;2;"MESU";127,072113927277
2015;2;"PAIN";247,058235387262
2015;2;"PLCO";154,706442886151
2015;2;"POMA";1471,49657374591
2015;2;"POMO";452,655356054153
2015;2;"PUPA";2568,77465520184
2015;2;"SASO";388,592401772042
2015;2;"SCLA";208,048625604682
2015;2;"SOAS";152,312735167231
2015;2;"SPRU";1275,83082065554
2015;2;"SUSP";NA
2015;3;"BEMA";NA
2015;3;"CETE";632,432007235911
2015;3;"CHFU";862,222023786659
2015;3;"CHMI";NA
2015;3;"HOMA";NA
2015;3;"LEMA";587,851697736138
2015;3;"LYTR";NA
2015;3;"MEEL";32,7585562707805
2015;3;"MESU";127,072113927277
2015;3;"PAIN";247,058235387262
2015;3;"PLCO";NA
2015;3;"POMA";1471,49657374591
2015;3;"POMO";452,655356054153
2015;3;"PUPA";2568,77465520184
2015;3;"SASO";388,592401772042
2015;3;"SCLA";NA
2015;3;"SOAS";152,312735167231
2015;3;"SPRU";NA
2015;3;"SUSP";NA
2015;4;"BEMA";141,0407839099
2015;4;"CETE";NA
2015;4;"CHFU";862,222023786659
2015;4;"CHMI";NA
2015;4;"HOMA";NA
2015;4;"LEMA";587,851697736138
2015;4;"LYTR";NA
2015;4;"MEEL";NA
2015;4;"MESU";NA
2015;4;"PAIN";247,058235387262
2015;4;"PLCO";154,706442886151
2015;4;"POMA";NA
2015;4;"POMO";NA
2015;4;"PUPA";2568,77465520184
2015;4;"SASO";388,592401772042
2015;4;"SCLA";NA
2015;4;"SOAS";152,312735167231
2015;4;"SPRU";NA
2015;4;"SUSP";NA
2015;5;"BEMA";141,0407839099
2015;5;"CETE";NA
2015;5;"CHFU";862,222023786659
2015;5;"CHMI";NA
2015;5;"HOMA";NA
2015;5;"LEMA";587,851697736138
2015;5;"LYTR";NA
2015;5;"MEEL";NA
2015;5;"MESU";NA
2015;5;"PAIN";247,058235387262
2015;5;"PLCO";154,706442886151
2015;5;"POMA";NA
2015;5;"POMO";NA
2015;5;"PUPA";2568,77465520184
2015;5;"SASO";388,592401772042
2015;5;"SCLA";NA
2015;5;"SOAS";152,312735167231
2015;5;"SPRU";NA
2015;5;"SUSP";NA
2015;6;"BEMA";141,0407839099
2015;6;"CETE";NA
2015;6;"CHFU";862,222023786659
2015;6;"CHMI";NA
2015;6;"HOMA";NA
2015;6;"LEMA";587,851697736138
2015;6;"LYTR";NA
2015;6;"MEEL";32,7585562707805
2015;6;"MESU";127,072113927277
2015;6;"PAIN";247,058235387262
2015;6;"PLCO";154,706442886151
2015;6;"POMA";1471,49657374591
2015;6;"POMO";NA
2015;6;"PUPA";NA
2015;6;"SASO";388,592401772042
2015;6;"SCLA";208,048625604682
2015;6;"SOAS";NA
2015;6;"SPRU";1275,83082065554
2015;6;"SUSP";NA
2015;7;"BEMA";NA
2015;7;"CETE";NA
2015;7;"CHFU";NA
2015;7;"CHMI";NA
2015;7;"HOMA";253,561105839514
2015;7;"LEMA";NA
2015;7;"LYTR";NA
2015;7;"MEEL";NA
2015;7;"MESU";NA
2015;7;"PAIN";NA
2015;7;"PLCO";NA
2015;7;"POMA";1471,49657374591
2015;7;"POMO";452,655356054153
2015;7;"PUPA";NA
2015;7;"SASO";388,592401772042
2015;7;"SCLA";NA
2015;7;"SOAS";NA
2015;7;"SPRU";NA
2015;7;"SUSP";NA
2015;8;"BEMA";NA
2015;8;"CETE";NA
2015;8;"CHFU";NA
2015;8;"CHMI";NA
2015;8;"HOMA";253,561105839514
2015;8;"LEMA";NA
2015;8;"LYTR";NA
2015;8;"MEEL";NA
2015;8;"MESU";NA
2015;8;"PAIN";NA
2015;8;"PLCO";NA
2015;8;"POMA";1471,49657374591
2015;8;"POMO";NA
2015;8;"PUPA";NA
2015;8;"SASO";388,592401772042
2015;8;"SCLA";NA
2015;8;"SOAS";NA
2015;8;"SPRU";1275,83082065554
2015;8;"SUSP";NA
2015;9;"BEMA";NA
2015;9;"CETE";NA
2015;9;"CHFU";NA
2015;9;"CHMI";NA
2015;9;"HOMA";NA
2015;9;"LEMA";NA
2015;9;"LYTR";NA
2015;9;"MEEL";NA
2015;9;"MESU";NA
2015;9;"PAIN";NA
2015;9;"PLCO";NA
2015;9;"POMA";NA
2015;9;"POMO";NA
2015;9;"PUPA";NA
2015;9;"SASO";NA
2015;9;"SCLA";NA
2015;9;"SOAS";NA
2015;9;"SPRU";NA
2015;9;"SUSP";NA
2016;1;"BEMA";79,0702021819412
2016;1;"CETE";NA
2016;1;"CHFU";386,128801172375
2016;1;"CHMI";NA
2016;1;"HOMA";12,58993145203
2016;1;"LEMA";125,008436957487
2016;1;"LYTR";NA
2016;1;"MEEL";NA
2016;1;"MESU";127,875157027252
2016;1;"PAIN";34,0011482375684
2016;1;"PLCO";42,4445198539367
2016;1;"POMA";NA
2016;1;"POMO";NA
2016;1;"PUPA";NA
2016;1;"SASO";61,4213525981969
2016;1;"SCLA";34,0121922352204
2016;1;"SOAS";NA
2016;1;"SPRU";NA
2016;1;"SUSP";NA
2016;2;"BEMA";79,0702021819412
2016;2;"CETE";NA
2016;2;"CHFU";386,128801172375
2016;2;"CHMI";NA
2016;2;"HOMA";12,58993145203
2016;2;"LEMA";125,008436957487
2016;2;"LYTR";NA
2016;2;"MEEL";NA
2016;2;"MESU";127,875157027252
2016;2;"PAIN";34,0011482375684
2016;2;"PLCO";42,4445198539367
2016;2;"POMA";NA
2016;2;"POMO";NA
2016;2;"PUPA";NA
2016;2;"SASO";61,4213525981969
2016;2;"SCLA";34,0121922352204
2016;2;"SOAS";NA
2016;2;"SPRU";NA
2016;2;"SUSP";NA
2016;3;"BEMA";79,0702021819412
2016;3;"CETE";NA
2016;3;"CHFU";386,128801172375
2016;3;"CHMI";360,480782586065
2016;3;"HOMA";12,58993145203
2016;3;"LEMA";125,008436957487
2016;3;"LYTR";NA
2016;3;"MEEL";NA
2016;3;"MESU";127,875157027252
2016;3;"PAIN";34,0011482375684
2016;3;"PLCO";42,4445198539367
2016;3;"POMA";NA
2016;3;"POMO";NA
2016;3;"PUPA";NA
2016;3;"SASO";NA
2016;3;"SCLA";34,0121922352204
2016;3;"SOAS";NA
2016;3;"SPRU";NA
2016;3;"SUSP";NA
2016;4;"BEMA";79,0702021819412
2016;4;"CETE";NA
2016;4;"CHFU";NA
2016;4;"CHMI";NA
2016;4;"HOMA";12,58993145203
2016;4;"LEMA";125,008436957487
2016;4;"LYTR";NA
2016;4;"MEEL";14,9443361296592
2016;4;"MESU";127,875157027252
2016;4;"PAIN";34,0011482375684
2016;4;"PLCO";42,4445198539367
2016;4;"POMA";NA
2016;4;"POMO";NA
2016;4;"PUPA";NA
2016;4;"SASO";61,4213525981969
2016;4;"SCLA";34,0121922352204
2016;4;"SOAS";NA
2016;4;"SPRU";NA
2016;4;"SUSP";NA
2016;5;"BEMA";79,0702021819412
2016;5;"CETE";1528,20566719486
2016;5;"CHFU";386,128801172375
2016;5;"CHMI";NA
2016;5;"HOMA";12,58993145203
2016;5;"LEMA";125,008436957487
2016;5;"LYTR";NA
2016;5;"MEEL";14,9443361296592
2016;5;"MESU";127,875157027252
2016;5;"PAIN";NA
2016;5;"PLCO";42,4445198539367
2016;5;"POMA";NA
2016;5;"POMO";NA
2016;5;"PUPA";NA
2016;5;"SASO";NA
2016;5;"SCLA";34,0121922352204
2016;5;"SOAS";NA
2016;5;"SPRU";NA
2016;5;"SUSP";NA
2016;6;"BEMA";79,0702021819412
2016;6;"CETE";NA
2016;6;"CHFU";NA
2016;6;"CHMI";NA
2016;6;"HOMA";12,58993145203
2016;6;"LEMA";125,008436957487
2016;6;"LYTR";NA
2016;6;"MEEL";14,9443361296592
2016;6;"MESU";127,875157027252
2016;6;"PAIN";34,0011482375684
2016;6;"PLCO";42,4445198539367
2016;6;"POMA";NA
2016;6;"POMO";NA
