"year";"plot";"sp";"lambda"
2015;1;"BEMA";79,2475492742123
2015;1;"CETE";399,903591259043
2015;1;"CHFU";834,226125839049
2015;1;"CHMI";NA
2015;1;"HOMA";161,703288003366
2015;1;"LEMA";518,263536323848
2015;1;"LYTR";NA
2015;1;"MEEL";15,2356184245585
2015;1;"MESU";70,6897033701315
2015;1;"PAIN";183,366718104051
2015;1;"PLCO";251,147552367739
2015;1;"POMA";257,61800777405
2015;1;"POMO";108,954434111643
2015;1;"PUPA";887,401905228825
2015;1;"SASO";643,01043684331
2015;1;"SCLA";111,995960741525
2015;1;"SOAS";128,91008128123
2015;1;"SPRU";795,208745671877
2015;1;"SUSP";NA
2015;2;"BEMA";188,0221391507
2015;2;"CETE";990,45042640597
2015;2;"CHFU";686,683383960181
2015;2;"CHMI";NA
2015;2;"HOMA";234,003371340753
2015;2;"LEMA";675,567369534055
2015;2;"LYTR";NA
2015;2;"MEEL";25,8065857670654
2015;2;"MESU";78,3902330686601
2015;2;"PAIN";124,312241445656
2015;2;"PLCO";106,264304731773
2015;2;"POMA";261,675796530256
2015;2;"POMO";293,524418581633
2015;2;"PUPA";786,35334204182
2015;2;"SASO";277,742440684541
2015;2;"SCLA";254,783254402314
2015;2;"SOAS";179,659840405532
2015;2;"SPRU";1569,11237096072
2015;2;"SUSP";NA
2015;3;"BEMA";NA
2015;3;"CETE";358,616861142751
2015;3;"CHFU";1279,33301536103
2015;3;"CHMI";NA
2015;3;"HOMA";NA
2015;3;"LEMA";569,958245680165
2015;3;"LYTR";NA
2015;3;"MEEL";13,8987419239076
2015;3;"MESU";106,432140207547
2015;3;"PAIN";170,972412001786
2015;3;"PLCO";NA
2015;3;"POMA";276,750140805034
2015;3;"POMO";224,566620643197
2015;3;"PUPA";564,743905766915
2015;3;"SASO";672,740791446739
2015;3;"SCLA";NA
2015;3;"SOAS";111,529037004172
2015;3;"SPRU";NA
2015;3;"SUSP";NA
2015;4;"BEMA";70,9742773983744
2015;4;"CETE";NA
2015;4;"CHFU";670,675729733745
2015;4;"CHMI";NA
2015;4;"HOMA";NA
2015;4;"LEMA";649,884653362502
2015;4;"LYTR";NA
