"year";"plot";"focal";"neighbour";"magnitude"
2015;1;"BEMA";"BEMA";0,00284585292322759
2016;1;"BEMA";"BEMA";-0,00209386003919677
2017;1;"BEMA";"BEMA";-0,00164458834695613
2018;1;"BEMA";"BEMA";0,00106197089769311
2019;1;"BEMA";"BEMA";NA
2020;1;"BEMA";"BEMA";-0,022496656345416
2021;1;"BEMA";"BEMA";0,0169418260594968
2015;2;"BEMA";"BEMA";-0,00603030339168302
2016;2;"BEMA";"BEMA";0,00658824075609054
2017;2;"BEMA";"BEMA";-0,000151345204810183
2018;2;"BEMA";"BEMA";0,00547417872822453
2019;2;"BEMA";"BEMA";-0,00265706799277223
2020;2;"BEMA";"BEMA";0,0444342066144626
2021;2;"BEMA";"BEMA";-0,0108540699177888
2015;3;"BEMA";"BEMA";-0,00144372051021271
2016;3;"BEMA";"BEMA";0,0177030131052617
2017;3;"BEMA";"BEMA";0,000116041430974177
2018;3;"BEMA";"BEMA";0,000563399531449061
2019;3;"BEMA";"BEMA";NA
2020;3;"BEMA";"BEMA";-0,0162249152870701
2021;3;"BEMA";"BEMA";0,000989989656367914
2015;4;"BEMA";"BEMA";0,00790025776601277
2016;4;"BEMA";"BEMA";0,00988309711150657
2017;4;"BEMA";"BEMA";NA
2018;4;"BEMA";"BEMA";0,000222833778809296
2019;4;"BEMA";"BEMA";-0,000297708337975806
2020;4;"BEMA";"BEMA";-0,014376793949935
2021;4;"BEMA";"BEMA";-0,0180627650475383
2015;5;"BEMA";"BEMA";-0,000829200418115344
2016;5;"BEMA";"BEMA";-0,00269423011486809
2017;5;"BEMA";"BEMA";-0,000397140517377835
2018;5;"BEMA";"BEMA";6,507216488137e-06
2019;5;"BEMA";"BEMA";NA
2020;5;"BEMA";"BEMA";0,0132662524634383
2021;5;"BEMA";"BEMA";0,000503902185215254
2015;6;"BEMA";"BEMA";0,000429672124671421
2016;6;"BEMA";"BEMA";-0,00365985471396002
2017;6;"BEMA";"BEMA";NA
2018;6;"BEMA";"BEMA";NA
2019;6;"BEMA";"BEMA";NA
2020;6;"BEMA";"BEMA";NA
2021;6;"BEMA";"BEMA";-0,0183434988344137
2015;7;"BEMA";"BEMA";NA
2016;7;"BEMA";"BEMA";0,0130230260412555
2017;7;"BEMA";"BEMA";NA
2018;7;"BEMA";"BEMA";NA
2019;7;"BEMA";"BEMA";-0,00697145521679309
2020;7;"BEMA";"BEMA";0,00834431994062795
2021;7;"BEMA";"BEMA";-0,0232472473331773
2015;8;"BEMA";"BEMA";NA
2016;8;"BEMA";"BEMA";0,00583500724382374
2017;8;"BEMA";"BEMA";NA
2018;8;"BEMA";"BEMA";NA
2019;8;"BEMA";"BEMA";-0,0149443843778952
2020;8;"BEMA";"BEMA";0,0158786734074666
2021;8;"BEMA";"BEMA";-0,00367630534254111
2015;9;"BEMA";"BEMA";NA
2016;9;"BEMA";"BEMA";0,0186747499503405
2017;9;"BEMA";"BEMA";NA
2018;9;"BEMA";"BEMA";NA
2019;9;"BEMA";"BEMA";0,000240564855271905
2020;9;"BEMA";"BEMA";0,0198374325039544
2021;9;"BEMA";"BEMA";-0,00379131202101575
2015;1;"CETE";"BEMA";0,0149532254234574
2016;1;"CETE";"BEMA";NA
2017;1;"CETE";"BEMA";-0,00421965796770186
2018;1;"CETE";"BEMA";0,00036888068344964
2019;1;"CETE";"BEMA";NA
2020;1;"CETE";"BEMA";-0,00625212406342352
2021;1;"CETE";"BEMA";0,0306851180844536
2015;2;"CETE";"BEMA";0,00225027935651677
2016;2;"CETE";"BEMA";NA
2017;2;"CETE";"BEMA";-0,00369309251420524
2018;2;"CETE";"BEMA";-0,00283126245184443
2019;2;"CETE";"BEMA";-0,00647268252866617
2020;2;"CETE";"BEMA";-0,012257818572729
2021;2;"CETE";"BEMA";-0,00851456180425927
2015;3;"CETE";"BEMA";0,0165872560709171
2016;3;"CETE";"BEMA";NA
2017;3;"CETE";"BEMA";-0,00531616162081425
2018;3;"CETE";"BEMA";-0,00286168671437878
2019;3;"CETE";"BEMA";NA
2020;3;"CETE";"BEMA";0,0164694803684563
2021;3;"CETE";"BEMA";0,03902480886426
2015;4;"CETE";"BEMA";NA
2016;4;"CETE";"BEMA";NA
2017;4;"CETE";"BEMA";NA
2018;4;"CETE";"BEMA";NA
2019;4;"CETE";"BEMA";-0,00325759492077826
2020;4;"CETE";"BEMA";0,00187692476043178
2021;4;"CETE";"BEMA";0,0079360190700298
2015;5;"CETE";"BEMA";NA
2016;5;"CETE";"BEMA";0,000626433231740271
2017;5;"CETE";"BEMA";0,000649900118121153
2018;5;"CETE";"BEMA";NA
2019;5;"CETE";"BEMA";-0,000942135181888184
2020;5;"CETE";"BEMA";0,0102914306737808
2021;5;"CETE";"BEMA";-0,000153558149404192
2015;6;"CETE";"BEMA";NA
2016;6;"CETE";"BEMA";NA
2017;6;"CETE";"BEMA";NA
2018;6;"CETE";"BEMA";NA
2019;6;"CETE";"BEMA";-0,00232681184604381
2020;6;"CETE";"BEMA";-0,000446780465855416
2021;6;"CETE";"BEMA";-0,0125555308887636
2015;7;"CETE";"BEMA";NA
2016;7;"CETE";"BEMA";NA
2017;7;"CETE";"BEMA";NA
2018;7;"CETE";"BEMA";NA
2019;7;"CETE";"BEMA";-0,00603627425289769
2020;7;"CETE";"BEMA";0,011201044452194
2021;7;"CETE";"BEMA";-0,000831273879884667
2015;8;"CETE";"BEMA";NA
2016;8;"CETE";"BEMA";NA
2017;8;"CETE";"BEMA";NA
2018;8;"CETE";"BEMA";NA
2019;8;"CETE";"BEMA";-0,00519494820036665
2020;8;"CETE";"BEMA";0,0844718475892243
2021;8;"CETE";"BEMA";-0,0100938058621616
2015;9;"CETE";"BEMA";NA
2016;9;"CETE";"BEMA";-0,0102129465557828
2017;9;"CETE";"BEMA";NA
2018;9;"CETE";"BEMA";NA
2019;9;"CETE";"BEMA";NA
2020;9;"CETE";"BEMA";-0,000606941986793077
2021;9;"CETE";"BEMA";-0,00114827894470075
2015;1;"CHFU";"BEMA";0,00794411958879361
2016;1;"CHFU";"BEMA";NA
2017;1;"CHFU";"BEMA";-0,00396928765909809
2018;1;"CHFU";"BEMA";NA
2019;1;"CHFU";"BEMA";-0,0248687678820674
2020;1;"CHFU";"BEMA";0,0804905550373476
2021;1;"CHFU";"BEMA";0,0612889054482788
2015;2;"CHFU";"BEMA";-0,0237779426858071
2016;2;"CHFU";"BEMA";NA
2017;2;"CHFU";"BEMA";-0,00673730885906546
2018;2;"CHFU";"BEMA";NA
2019;2;"CHFU";"BEMA";3,44723585448504e-06
2020;2;"CHFU";"BEMA";0,142186064701612
2021;2;"CHFU";"BEMA";-0,032678365474512
2015;3;"CHFU";"BEMA";-0,0456685472848664
2016;3;"CHFU";"BEMA";NA
2017;3;"CHFU";"BEMA";-0,0189798085605337
2018;3;"CHFU";"BEMA";NA
2019;3;"CHFU";"BEMA";-0,0155148950141845
2020;3;"CHFU";"BEMA";-0,223597068357505
2021;3;"CHFU";"BEMA";-0,00877940333617452
2015;4;"CHFU";"BEMA";0,0228461494408305
2016;4;"CHFU";"BEMA";NA
2017;4;"CHFU";"BEMA";0,00795963001070731
2018;4;"CHFU";"BEMA";NA
2019;4;"CHFU";"BEMA";-0,0439707148697828
2020;4;"CHFU";"BEMA";0,0587260290757466
2021;4;"CHFU";"BEMA";0,00814518193867618
2015;5;"CHFU";"BEMA";-0,0905036156758601
2016;5;"CHFU";"BEMA";NA
2017;5;"CHFU";"BEMA";0,00858114561186122
2018;5;"CHFU";"BEMA";NA
2019;5;"CHFU";"BEMA";-0,000225914771039142
2020;5;"CHFU";"BEMA";-0,0248699319529185
2021;5;"CHFU";"BEMA";-0,0434072383736412
2015;6;"CHFU";"BEMA";-0,000923559609892515
2016;6;"CHFU";"BEMA";NA
2017;6;"CHFU";"BEMA";0,00100961924512802
2018;6;"CHFU";"BEMA";NA
2019;6;"CHFU";"BEMA";-0,00131675886243498
2020;6;"CHFU";"BEMA";NA
2021;6;"CHFU";"BEMA";-0,0763278185690656
2015;7;"CHFU";"BEMA";NA
2016;7;"CHFU";"BEMA";NA
2017;7;"CHFU";"BEMA";NA
2018;7;"CHFU";"BEMA";NA
2019;7;"CHFU";"BEMA";-0,00213315318618844
2020;7;"CHFU";"BEMA";0,130928378987296
2021;7;"CHFU";"BEMA";-0,0587931137327296
2015;8;"CHFU";"BEMA";NA
2016;8;"CHFU";"BEMA";NA
2017;8;"CHFU";"BEMA";NA
2018;8;"CHFU";"BEMA";NA
2019;8;"CHFU";"BEMA";-0,001022468983217
2020;8;"CHFU";"BEMA";-0,238673451901844
2021;8;"CHFU";"BEMA";0,0407881876347011
2015;9;"CHFU";"BEMA";NA
2016;9;"CHFU";"BEMA";NA
2017;9;"CHFU";"BEMA";NA
2018;9;"CHFU";"BEMA";NA
2019;9;"CHFU";"BEMA";-0,014757933193588
2020;9;"CHFU";"BEMA";-0,0351860616883682
2021;9;"CHFU";"BEMA";0,0902758968465314
2015;1;"CHMI";"BEMA";0,00637525025969152
2016;1;"CHMI";"BEMA";NA
2017;1;"CHMI";"BEMA";0,00978630817355373
2018;1;"CHMI";"BEMA";NA
2019;1;"CHMI";"BEMA";NA
2020;1;"CHMI";"BEMA";0,00598489996908367
2021;1;"CHMI";"BEMA";NA
2015;2;"CHMI";"BEMA";0,0160955160112292
2016;2;"CHMI";"BEMA";NA
2017;2;"CHMI";"BEMA";-0,00155830686731861
2018;2;"CHMI";"BEMA";NA
2019;2;"CHMI";"BEMA";0,00876912253307769
2020;2;"CHMI";"BEMA";0,0034733678730646
2021;2;"CHMI";"BEMA";-0,00564971759389939
2015;3;"CHMI";"BEMA";-0,060910538950173
2016;3;"CHMI";"BEMA";-0,00300976892975799
2017;3;"CHMI";"BEMA";0,0333930962967455
2018;3;"CHMI";"BEMA";-0,00120988138115258
2019;3;"CHMI";"BEMA";NA
2020;3;"CHMI";"BEMA";-0,0328679995696831
2021;3;"CHMI";"BEMA";-0,00330869221744583
2015;4;"CHMI";"BEMA";NA
2016;4;"CHMI";"BEMA";NA
2017;4;"CHMI";"BEMA";NA
2018;4;"CHMI";"BEMA";NA
2019;4;"CHMI";"BEMA";NA
2020;4;"CHMI";"BEMA";NA
2021;4;"CHMI";"BEMA";-0,00702605348205221
2015;5;"CHMI";"BEMA";NA
2016;5;"CHMI";"BEMA";NA
2017;5;"CHMI";"BEMA";NA
2018;5;"CHMI";"BEMA";NA
2019;5;"CHMI";"BEMA";NA
