"year";"plot";"focal";"neighbour";"magnitude"
2015;1;"BEMA";"BEMA";NA
2016;1;"BEMA";"BEMA";0,0236212643538486
2017;1;"BEMA";"BEMA";-0,000712190124232629
2018;1;"BEMA";"BEMA";NA
2019;1;"BEMA";"BEMA";NA
2020;1;"BEMA";"BEMA";0,043847966763547
2021;1;"BEMA";"BEMA";-0,0122125599709056
2015;2;"BEMA";"BEMA";-0,0180607688417316
2016;2;"BEMA";"BEMA";0,0236212643538486
2017;2;"BEMA";"BEMA";NA
2018;2;"BEMA";"BEMA";0,0271635474285543
2019;2;"BEMA";"BEMA";-0,0190675920342373
2020;2;"BEMA";"BEMA";0,043847966763547
2021;2;"BEMA";"BEMA";-0,0122125599709056
2015;3;"BEMA";"BEMA";NA
2016;3;"BEMA";"BEMA";0,0236212643538486
2017;3;"BEMA";"BEMA";NA
2018;3;"BEMA";"BEMA";0,0271635474285543
2019;3;"BEMA";"BEMA";NA
2020;3;"BEMA";"BEMA";0,043847966763547
2021;3;"BEMA";"BEMA";NA
2015;4;"BEMA";"BEMA";-0,0180607688417316
2016;4;"BEMA";"BEMA";0,0236212643538486
2017;4;"BEMA";"BEMA";NA
2018;4;"BEMA";"BEMA";NA
2019;4;"BEMA";"BEMA";NA
2020;4;"BEMA";"BEMA";0,043847966763547
2021;4;"BEMA";"BEMA";-0,0122125599709056
2015;5;"BEMA";"BEMA";NA
2016;5;"BEMA";"BEMA";0,0236212643538486
2017;5;"BEMA";"BEMA";NA
2018;5;"BEMA";"BEMA";NA
2019;5;"BEMA";"BEMA";NA
2020;5;"BEMA";"BEMA";0,043847966763547
2021;5;"BEMA";"BEMA";-0,0122125599709056
2015;6;"BEMA";"BEMA";NA
2016;6;"BEMA";"BEMA";0,0236212643538486
2017;6;"BEMA";"BEMA";NA
2018;6;"BEMA";"BEMA";NA
2019;6;"BEMA";"BEMA";NA
2020;6;"BEMA";"BEMA";NA
2021;6;"BEMA";"BEMA";-0,0122125599709056
2015;7;"BEMA";"BEMA";NA
2016;7;"BEMA";"BEMA";0,0236212643538486
2017;7;"BEMA";"BEMA";NA
2018;7;"BEMA";"BEMA";NA
2019;7;"BEMA";"BEMA";-0,0190675920342373
2020;7;"BEMA";"BEMA";0,043847966763547
2021;7;"BEMA";"BEMA";-0,0122125599709056
2015;8;"BEMA";"BEMA";NA
2016;8;"BEMA";"BEMA";0,0236212643538486
2017;8;"BEMA";"BEMA";NA
2018;8;"BEMA";"BEMA";NA
2019;8;"BEMA";"BEMA";-0,0190675920342373
2020;8;"BEMA";"BEMA";0,043847966763547
2021;8;"BEMA";"BEMA";-0,0122125599709056
2015;9;"BEMA";"BEMA";NA
2016;9;"BEMA";"BEMA";0,0236212643538486
2017;9;"BEMA";"BEMA";NA
2018;9;"BEMA";"BEMA";NA
2019;9;"BEMA";"BEMA";NA
2020;9;"BEMA";"BEMA";0,043847966763547
2021;9;"BEMA";"BEMA";-0,0122125599709056
2015;1;"CETE";"BEMA";NA
2016;1;"CETE";"BEMA";NA
2017;1;"CETE";"BEMA";NA
2018;1;"CETE";"BEMA";NA
2019;1;"CETE";"BEMA";NA
2020;1;"CETE";"BEMA";0,00305069829603194
2021;1;"CETE";"BEMA";0,029306165068506
2015;2;"CETE";"BEMA";0,00180509570651441
2016;2;"CETE";"BEMA";NA
2017;2;"CETE";"BEMA";NA
2018;2;"CETE";"BEMA";NA
2019;2;"CETE";"BEMA";-0,0044942664881852
2020;2;"CETE";"BEMA";0,00305069829603194
2021;2;"CETE";"BEMA";0,029306165068506
2015;3;"CETE";"BEMA";NA
2016;3;"CETE";"BEMA";NA
2017;3;"CETE";"BEMA";-0,00458554029764555
2018;3;"CETE";"BEMA";NA
2019;3;"CETE";"BEMA";NA
2020;3;"CETE";"BEMA";0,00305069829603194
2021;3;"CETE";"BEMA";0,029306165068506
2015;4;"CETE";"BEMA";NA
2016;4;"CETE";"BEMA";NA
