"year";"plot";"sp";"lambda"
2015;1;"BEMA";103,205557651794
2016;1;"BEMA";73,7404547262798
2017;1;"BEMA";71,0008245056275
2018;1;"BEMA";58,7687267265342
2019;1;"BEMA";NA
2020;1;"BEMA";354,520749822954
2021;1;"BEMA";93,7966106212275
2015;2;"BEMA";194,962659515516
2016;2;"BEMA";112,273819226849
2017;2;"BEMA";46,2195108308519
2018;2;"BEMA";45,4069997576217
2019;2;"BEMA";99,4094906372038
2020;2;"BEMA";140,946777195284
2021;2;"BEMA";73,9334941043129
2015;3;"BEMA";220,634869374613
2016;3;"BEMA";80,0564133347408
2017;3;"BEMA";89,6402791132759
2018;3;"BEMA";81,9139970855362
2019;3;"BEMA";NA
2020;3;"BEMA";136,833439576795
2021;3;"BEMA";66,18899755441
2015;4;"BEMA";72,9990586836525
2016;4;"BEMA";84,6536123929857
2017;4;"BEMA";NA
2018;4;"BEMA";60,8338182377484
2019;4;"BEMA";52,6922230478798
2020;4;"BEMA";78,3160434646476
2021;4;"BEMA";55,6419277050525
2015;5;"BEMA";50,74096876432
2016;5;"BEMA";47,4385000323558
2017;5;"BEMA";349,838855815483
2018;5;"BEMA";76,7886314442268
2019;5;"BEMA";NA
2020;5;"BEMA";67,9974977876359
2021;5;"BEMA";58,3125227616039
2015;6;"BEMA";63,3122680311553
2016;6;"BEMA";90,9226868269503
2017;6;"BEMA";NA
2018;6;"BEMA";NA
2019;6;"BEMA";NA
2020;6;"BEMA";NA
2021;6;"BEMA";81,4016075229381
2015;7;"BEMA";NA
2016;7;"BEMA";86,2160560430296
2017;7;"BEMA";NA
2018;7;"BEMA";NA
2019;7;"BEMA";277,032731017997
2020;7;"BEMA";115,037685211279
2021;7;"BEMA";123,531430827874
2015;8;"BEMA";NA
2016;8;"BEMA";74,4646554191968
2017;8;"BEMA";NA
2018;8;"BEMA";NA
2019;8;"BEMA";349,723387042751
2020;8;"BEMA";78,5764498694286
2021;8;"BEMA";45,6724174462056
2015;9;"BEMA";NA
2016;9;"BEMA";88,5873147848088
2017;9;"BEMA";NA
2018;9;"BEMA";NA
2019;9;"BEMA";62,0985120164346
2020;9;"BEMA";46,258931137714
2021;9;"BEMA";44,7369313231314
2015;1;"CETE";394,507961759957
2016;1;"CETE";NA
2017;1;"CETE";953,661543178336
2018;1;"CETE";785,996082242545
2019;1;"CETE";NA
2020;1;"CETE";891,297970156915
2021;1;"CETE";552,975061454177
2015;2;"CETE";732,863835510267
2016;2;"CETE";NA
2017;2;"CETE";968,166377018196
2018;2;"CETE";884,412086885107
2019;2;"CETE";932,840039416204
2020;2;"CETE";914,258926469209
2021;2;"CETE";711,17933580155
2015;3;"CETE";373,944558209009
2016;3;"CETE";NA
2017;3;"CETE";962,682694747649
2018;3;"CETE";838,862390800206
2019;3;"CETE";NA
2020;3;"CETE";858,726140456663
2021;3;"CETE";454,660169497399
2015;4;"CETE";NA
2016;4;"CETE";NA
2017;4;"CETE";NA
2018;4;"CETE";NA
2019;4;"CETE";872,161285595824
2020;4;"CETE";722,368062082449
2021;4;"CETE";712,097829279402
2015;5;"CETE";NA
2016;5;"CETE";739,290859353668
2017;5;"CETE";769,734159958298
2018;5;"CETE";NA
2019;5;"CETE";847,116895984346
2020;5;"CETE";574,905765121342
2021;5;"CETE";737,437072126914
2015;6;"CETE";NA
2016;6;"CETE";NA
2017;6;"CETE";NA
2018;6;"CETE";NA
2019;6;"CETE";846,454277838673
2020;6;"CETE";759,524090009475
2021;6;"CETE";750,369093788833
2015;7;"CETE";NA
2016;7;"CETE";NA
2017;7;"CETE";NA
2018;7;"CETE";NA
2019;7;"CETE";966,431288665154
2020;7;"CETE";753,413714532186
2021;7;"CETE";884,662737539378
2015;8;"CETE";NA
2016;8;"CETE";NA
2017;8;"CETE";NA
2018;8;"CETE";NA
2019;8;"CETE";963,2757862811
2020;8;"CETE";684,985784163668
2021;8;"CETE";897,691540528852
2015;9;"CETE";NA
2016;9;"CETE";926,015314145214
2017;9;"CETE";NA
2018;9;"CETE";NA
2019;9;"CETE";NA
2020;9;"CETE";745,79720480339
2021;9;"CETE";804,314444692588
2015;1;"CHFU";638,309811686181
2016;1;"CHFU";NA
2017;1;"CHFU";322,076485959544
2018;1;"CHFU";NA
2019;1;"CHFU";642,433187927082
2020;1;"CHFU";480,486364300853
2021;1;"CHFU";296,596908126503
2015;2;"CHFU";581,788198919146
2016;2;"CHFU";NA
2017;2;"CHFU";265,293795640562
2018;2;"CHFU";NA
2019;2;"CHFU";511,92905453647
2020;2;"CHFU";193,350198685344
2021;2;"CHFU";240,223006231794
2015;3;"CHFU";725,516312702634
2016;3;"CHFU";NA
2017;3;"CHFU";416,239206281516
2018;3;"CHFU";NA
2019;3;"CHFU";751,3753744858
2020;3;"CHFU";117,669679121829
2021;3;"CHFU";241,987728539972
2015;4;"CHFU";572,505572772719
2016;4;"CHFU";NA
2017;4;"CHFU";149,029850127543
2018;4;"CHFU";NA
2019;4;"CHFU";832,463201841549
2020;4;"CHFU";100,142581424595
2021;4;"CHFU";302,29346296212
2015;5;"CHFU";363,193737380039
2016;5;"CHFU";NA
2017;5;"CHFU";197,267333443176
2018;5;"CHFU";NA
2019;5;"CHFU";735,061263164497
2020;5;"CHFU";118,789140179825
2021;5;"CHFU";507,324191418414
2015;6;"CHFU";428,768107609573
2016;6;"CHFU";NA
2017;6;"CHFU";254,57426156779
2018;6;"CHFU";NA
2019;6;"CHFU";941,555510821477
2020;6;"CHFU";NA
2021;6;"CHFU";444,75598478893
2015;7;"CHFU";NA
2016;7;"CHFU";NA
2017;7;"CHFU";NA
2018;7;"CHFU";NA
2019;7;"CHFU";921,702332904908
2020;7;"CHFU";62,6861186934416
2021;7;"CHFU";169,595818151889
2015;8;"CHFU";NA
2016;8;"CHFU";NA
2017;8;"CHFU";NA
2018;8;"CHFU";NA
2019;8;"CHFU";958,454922966146
